"Park_Name","Country_State","Year","Attendance","Type","Region"
"Magic Kingdom (Walt Disney World)"," USA","2019",209600000,"Amusement/Theme Park","Worldwide"
"Magic Kingdom (Walt Disney World)"," USA","2020",69400000,"Amusement/Theme Park","Worldwide"
"Magic Kingdom (Walt Disney World)"," USA","2021",126900000,"Amusement/Theme Park","Worldwide"
"Magic Kingdom (Walt Disney World)"," USA","2022",171300000,"Amusement/Theme Park","Worldwide"
"Disneyland Anaheim"," USA","2019",186600000,"Amusement/Theme Park","Worldwide"
"Disneyland Anaheim"," USA","2020",36700000,"Amusement/Theme Park","Worldwide"
"Disneyland Anaheim"," USA","2021",85700000,"Amusement/Theme Park","Worldwide"
"Disneyland Anaheim"," USA","2022",168800000,"Amusement/Theme Park","Worldwide"
"Universal Studios"," Japan","2019",1.45e+08,"Amusement/Theme Park","Worldwide"
"Universal Studios"," Japan","2020",4.9e+07,"Amusement/Theme Park","Worldwide"
"Universal Studios"," Japan","2021",5.5e+07,"Amusement/Theme Park","Worldwide"
"Universal Studios"," Japan","2022",123500000,"Amusement/Theme Park","Worldwide"
"Tokyo Disneyland"," Japan","2019",179100000,"Amusement/Theme Park","Worldwide"
"Tokyo Disneyland"," Japan","2020",41600000,"Amusement/Theme Park","Worldwide"
"Tokyo Disneyland"," Japan","2021",6.3e+07,"Amusement/Theme Park","Worldwide"
"Tokyo Disneyland"," Japan","2022",1.2e+08,"Amusement/Theme Park","Worldwide"
"Islands of Adventure"," USA","2019",103800000,"Amusement/Theme Park","Worldwide"
"Islands of Adventure"," USA","2020",36400000,"Amusement/Theme Park","Worldwide"
"Islands of Adventure"," USA","2021",90800000,"Amusement/Theme Park","Worldwide"
"Islands of Adventure"," USA","2022",110300000,"Amusement/Theme Park","Worldwide"
"Disney's Hollywood Studios"," USA","2019",114800000,"Amusement/Theme Park","Worldwide"
"Disney's Hollywood Studios"," USA","2020",36800000,"Amusement/Theme Park","Worldwide"
"Disney's Hollywood Studios"," USA","2021",85900000,"Amusement/Theme Park","Worldwide"
"Disney's Hollywood Studios"," USA","2022",1.09e+08,"Amusement/Theme Park","Worldwide"
"Universal Studios Orlando"," USA","2019",109200000,"Amusement/Theme Park","Worldwide"
"Universal Studios Orlando"," USA","2020",39100000,"Amusement/Theme Park","Worldwide"
"Universal Studios Orlando"," USA","2021",89900000,"Amusement/Theme Park","Worldwide"
"Universal Studios Orlando"," USA","2022",107500000,"Amusement/Theme Park","Worldwide"
"Tokyo DisneySea"," Japan","2019",146500000,"Amusement/Theme Park","Worldwide"
"Tokyo DisneySea"," Japan","2020",3.4e+07,"Amusement/Theme Park","Worldwide"
"Tokyo DisneySea"," Japan","2021",5.8e+07,"Amusement/Theme Park","Worldwide"
"Tokyo DisneySea"," Japan","2022",1.01e+08,"Amusement/Theme Park","Worldwide"
"Epcot (Walt Disney World)"," USA","2019",124400000,"Amusement/Theme Park","Worldwide"
"Epcot (Walt Disney World)"," USA","2020",40400000,"Amusement/Theme Park","Worldwide"
"Epcot (Walt Disney World)"," USA","2021",77500000,"Amusement/Theme Park","Worldwide"
"Epcot (Walt Disney World)"," USA","2022",1e+08,"Amusement/Theme Park","Worldwide"
"Disneyland Park"," France","2019",97400000,"Amusement/Theme Park","Worldwide"
"Disneyland Park"," France","2020",26200000,"Amusement/Theme Park","Worldwide"
"Disneyland Park"," France","2021",3.5e+07,"Amusement/Theme Park","Worldwide"
"Disneyland Park"," France","2022",99300000,"Amusement/Theme Park","Worldwide"
"Disney's Animal Kingdom"," USA","2019",138900000,"Amusement/Theme Park","Worldwide"
"Disney's Animal Kingdom"," USA","2020",41700000,"Amusement/Theme Park","Worldwide"
"Disney's Animal Kingdom"," USA","2021",71900000,"Amusement/Theme Park","Worldwide"
"Disney's Animal Kingdom"," USA","2022",90200000,"Amusement/Theme Park","Worldwide"
"Disney's California Adventure"," USA","2019",98600000,"Amusement/Theme Park","Worldwide"
"Disney's California Adventure"," USA","2020",19200000,"Amusement/Theme Park","Worldwide"
"Disney's California Adventure"," USA","2021",49800000,"Amusement/Theme Park","Worldwide"
"Disney's California Adventure"," USA","2022",9e+07,"Amusement/Theme Park","Worldwide"
"Universal Studios Hollywood"," USA","2019",91500000,"Amusement/Theme Park","Worldwide"
"Universal Studios Hollywood"," USA","2020",1.7e+07,"Amusement/Theme Park","Worldwide"
"Universal Studios Hollywood"," USA","2021",5.5e+07,"Amusement/Theme Park","Worldwide"
"Universal Studios Hollywood"," USA","2022",8.4e+07,"Amusement/Theme Park","Worldwide"
"Europa-Park"," Germany","2019",57500000,"Amusement/Theme Park","Worldwide"
"Europa-Park"," Germany","2020",2.5e+07,"Amusement/Theme Park","Worldwide"
"Europa-Park"," Germany","2021",3e+07,"Amusement/Theme Park","Worldwide"
"Europa-Park"," Germany","2022",6e+07,"Amusement/Theme Park","Worldwide"
"Everland"," South Korea","2019",66100000,"Amusement/Theme Park","Worldwide"
"Everland"," South Korea","2020",27600000,"Amusement/Theme Park","Worldwide"
"Everland"," South Korea","2021",37100000,"Amusement/Theme Park","Worldwide"
"Everland"," South Korea","2022",57700000,"Amusement/Theme Park","Worldwide"
"Efteling Theme Park Resort"," the Netherlands","2019",52600000,"Amusement/Theme Park","Worldwide"
"Efteling Theme Park Resort"," the Netherlands","2020",2.9e+07,"Amusement/Theme Park","Worldwide"
"Efteling Theme Park Resort"," the Netherlands","2021",3.3e+07,"Amusement/Theme Park","Worldwide"
"Efteling Theme Park Resort"," the Netherlands","2022",54300000,"Amusement/Theme Park","Worldwide"
"Walt Disney Studios Park"," France","2019",52500000,"Amusement/Theme Park","Worldwide"
"Walt Disney Studios Park"," France","2020",14100000,"Amusement/Theme Park","Worldwide"
"Walt Disney Studios Park"," France","2021",18800000,"Amusement/Theme Park","Worldwide"
"Walt Disney Studios Park"," France","2022",53400000,"Amusement/Theme Park","Worldwide"
