"Park_Name","City","Country","Year","Attendance","Type","Region"
" MAGIC KINGDOM THEME PARK AT WALT DISNEY WORLD RESORT"," LAKE BUENA VISTA"," U.S.","2019",209630000,"Amusement/Theme Park","Worldwide"
" MAGIC KINGDOM THEME PARK AT WALT DISNEY WORLD RESORT"," LAKE BUENA VISTA"," U.S.","2020",69410000,"Amusement/Theme Park","Worldwide"
" MAGIC KINGDOM THEME PARK AT WALT DISNEY WORLD RESORT"," LAKE BUENA VISTA"," U.S.","2021",126910000,"Amusement/Theme Park","Worldwide"
" MAGIC KINGDOM THEME PARK AT WALT DISNEY WORLD RESORT"," LAKE BUENA VISTA"," U.S.","2022",171330000,"Amusement/Theme Park","Worldwide"
" DISNEYLAND PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2019",186660000,"Amusement/Theme Park","Worldwide"
" DISNEYLAND PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2020",36740000,"Amusement/Theme Park","Worldwide"
" DISNEYLAND PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2021",85730000,"Amusement/Theme Park","Worldwide"
" DISNEYLAND PARK AT DISNEYLAND RESORT"," ANAHEIM"," U.S.","2022",168810000,"Amusement/Theme Park","Worldwide"
" TOKYO DISNEYLAND AT TOKYO DISNEY RESORT"," TOKYO"," JAPAN","2019",179100000,"Amusement/Theme Park","Worldwide"
" TOKYO DISNEYLAND AT TOKYO DISNEY RESORT"," TOKYO"," JAPAN","2020",41600000,"Amusement/Theme Park","Worldwide"
" TOKYO DISNEYLAND AT TOKYO DISNEY RESORT"," TOKYO"," JAPAN","2021",6.3e+07,"Amusement/Theme Park","Worldwide"
" TOKYO DISNEYLAND AT TOKYO DISNEY RESORT"," TOKYO"," JAPAN","2022",1.2e+08,"Amusement/Theme Park","Worldwide"
" TOKYO DISNEYSEA AT TOKYO DISNEY RESORT"," TOKYO"," JAPAN","2019",146500000,"Amusement/Theme Park","Worldwide"
" TOKYO DISNEYSEA AT TOKYO DISNEY RESORT"," TOKYO"," JAPAN","2020",3.4e+07,"Amusement/Theme Park","Worldwide"
" TOKYO DISNEYSEA AT TOKYO DISNEY RESORT"," TOKYO"," JAPAN","2021",5.8e+07,"Amusement/Theme Park","Worldwide"
" TOKYO DISNEYSEA AT TOKYO DISNEY RESORT"," TOKYO"," JAPAN","2022",1.01e+08,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS JAPAN"," OSAKA"," JAPAN","2019",1.45e+08,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS JAPAN"," OSAKA"," JAPAN","2020",49010000,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS JAPAN"," OSAKA"," JAPAN","2021",5.5e+07,"Amusement/Theme Park","Worldwide"
" UNIVERSAL STUDIOS JAPAN"," OSAKA"," JAPAN","2022",123500000,"Amusement/Theme Park","Worldwide"
" DISNEY'S ANIMAL KINGDOM AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2019",138880000,"Amusement/Theme Park","Worldwide"
" DISNEY'S ANIMAL KINGDOM AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2020",41660000,"Amusement/Theme Park","Worldwide"
" DISNEY'S ANIMAL KINGDOM AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2021",71940000,"Amusement/Theme Park","Worldwide"
" DISNEY'S ANIMAL KINGDOM AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2022",90270000,"Amusement/Theme Park","Worldwide"
" EPCOT AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2019",124440000,"Amusement/Theme Park","Worldwide"
" EPCOT AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2020",40440000,"Amusement/Theme Park","Worldwide"
" EPCOT AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2021",77520000,"Amusement/Theme Park","Worldwide"
" EPCOT AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2022",1e+08,"Amusement/Theme Park","Worldwide"
" CHIMELONG OCEAN KINGDOM"," HENGQIN"," CHINA","2019",117360000,"Amusement/Theme Park","Worldwide"
" CHIMELONG OCEAN KINGDOM"," HENGQIN"," CHINA","2020",47970000,"Amusement/Theme Park","Worldwide"
" CHIMELONG OCEAN KINGDOM"," HENGQIN"," CHINA","2021",74520000,"Amusement/Theme Park","Worldwide"
" CHIMELONG OCEAN KINGDOM"," HENGQIN"," CHINA","2022",4.4e+07,"Amusement/Theme Park","Worldwide"
" DISNEY'S HOLLYWOOD STUDIOS AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2019",114830000,"Amusement/Theme Park","Worldwide"
" DISNEY'S HOLLYWOOD STUDIOS AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2020",36750000,"Amusement/Theme Park","Worldwide"
" DISNEY'S HOLLYWOOD STUDIOS AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2021",85890000,"Amusement/Theme Park","Worldwide"
" DISNEY'S HOLLYWOOD STUDIOS AT WALT DISNEY WORLD"," LAKE BUENA VISTA"," U.S.","2022",1.09e+08,"Amusement/Theme Park","Worldwide"
" SHANGHAI DISNEYLAND AT SHANGHAI DISNEY RESORT"," SHANGHAI"," CHINA","2019",112100000,"Amusement/Theme Park","Worldwide"
